,Address,seller_name,seller_level,rating_score,rating_count,orders_in_queue,collect_count,title,description_content,one_liner,user_country,user_response_time_hours,seller_desc_expanded,package1_title,package1_price,package1_desc,package2_title,package2_price,package2-desc,package3_title,package3_price,package3_desc,review1_desc,review2_desc,review3_desc,days_as_member,len_description_content,len_title,hours_since_last_order,days_since_last_order,description_content_clean,tf_idf,count_vect
0,https://www.fiverr.com/a_umair55/do-cashback-and-products-cms-with-affiliate-networks,a_umair55,Level 1 Seller,5.0,17,0,90,I will create a cashback website with stores coupons and offers,You can add affiliate networks stores coupons offer easily in admin. User Will Click On Retailers And Buy Products From Linked Websites And You Will Get Commission From Retailers/Networks And In That Commission You Will Pay Some Amount To Users As Cashback other will be your earning. Front End Features Responsive Design Login / Signup popup Store Page Offers of Each Retailers Coupons of Retailers Cashback Offers Related Products Related Stores Footer Procedure Banner Static Pages Retailer Sharing ON Social Media Retailer Categories Deals Categories Banners Retailer Rating Retailer Reviews Maximum Cashback Cashback Rates Cashback Notices FAQs Contact Us After Login Offers (Coupons and Codes) Deals/Product Detail Page User Login Features Exit Clicks Latest Earning Stores Profile Setting Update Password My Reviews My Earned Cashback My Cashout (EveryThing with Smart Filters) Admin Features User-Friendly Statistics Manage Cashback Blog FAQ's Press Static Page Newsletter Users Subscribers Reports Cashout Requests Stores Management Stores Reviews Stores Cashback(On Each Category) Store Notices Discount Voucher User Payment Method Affiliate Network Api's Integration (100$ Per Api) + See More Platform GoDaddy Specialization Business Supported plugin types Marketing,None,Pakistan,2,None,Full Cashback Service with Coupons,87.94,Full Cashback Service with Coupons,"Cashback With  Coupons,Product",114.32,Full Cashback Service with Products Feeds and with Coupons,"Cashback With  Coupons,Product,Api",219.84,"Cashback Service with Products Feeds and with Coupons And With one Automatic Cashback,Coupons,Api ",All good .,"Good communication, rapid solution.",Excellent work!,1885,1277,63,672,28.0,affiliate networks stores coupons easily admin user click retailers buy products linked commission commission pay amount users cashback earning front end responsive design login signup popup store offers retailers coupons retailers cashback offers related products related stores footer procedure banner static retailer sharing social media retailer categories deals categories banners retailer rating retailer reviews maximum cashback cashback rates cashback notices faqs contact login offers coupons codes detail user login exit clicks latest earning stores profile setting update password reviews earned cashback cashout everything smart filters admin statistics manage cashback blog faq press static newsletter users subscribers reports cashout requests stores management stores reviews stores cashback category store notices discount voucher user payment method affiliate network api integration per api platform godaddy specialization business plugin marketing,"['api integration', 'business plugin', 'front end', 'godaddy specialization', 'platform godaddy', 'responsive design', 'specialization business']","['cashback', 'stores']"
1,https://www.fiverr.com/aakashakbar/create-responsive-website-quickly-from-sketch-xd-and-psd,aakashakbar,Level 2 Seller,5.0,9,0,19,I will create responsive website from PSD to wordpress by elementor,"I will convert PSD to Wordpress, Zeplin to Wordpress, Figma design to wordpress or any other design that you have into a fully responsive and eye-catching wordpress website using Elementor and Elementor Pro page builder. I will create responsive pages from PSD or sketch with unlimited revisions with modern design as well in a shortest time interval for you. You will definitely love it. I will also provide a Life Time support of my created work as well, if you ever need any help I will always be there to help you. :) One last thing, my PSD to wordpress coversion will be 100% clone of your given design, taking care of each and every minor details as well and I assure you that there will be no compromise on the quality of work :) Why Me??? 100% responsive design Cloning from PSD to Wordpress with Elementor and Elementor Pro Unlimited revisions Stunning Results Extra design ideas Life time support of my created work + See More Platform Wix Specialization Blog Business Education Portfolio Entertainment Non-profit Supported plugin types Marketing Payment Social Media Analytics Video Form Map FAQ Gallery","""To me, earning money is way less important than building trust""",Pakistan,4,None,BASIC,61.56,"This ""BASIC"" package includes 1 page conversion with unlimited revisions.",STANDARD,211.05,I will create 5 responsive pages with unlimited revisions,PREMIUM,439.68,I will create a complete website exactly similar to your given template having 10 pages,"Well done, many thanks!",Amazing work!,Great work. Thank you.,729,1114,67,18,0.75,convert psd wordpress zeplin wordpress figma design wordpress design responsive wordpress website elementor elementor pro builder responsive psd sketch revisions modern design well shortest interval definitely love life created well ever help always help last thing psd wordpress coversion clone given design taking care every minor details well assure compromise quality responsive design cloning psd wordpress elementor elementor pro revisions stunning results extra design ideas life created platform wix specialization blog business education portfolio entertainment plugin marketing payment social media analytics video form map faq gallery,"['convert psd', 'elementor pro', 'psd wordpress']","['design', 'wordpress']"
2,https://www.fiverr.com/aalih786/design-a-professional-wix-website-or-redesign-wix-website-36e9,aalih786,Level 1 Seller,4.9,35,4,94,"I will create wix website, design or redesign wix website","Welcome to WIX Website Design/Re-Design!Are you looking for a stunning Wix Business Website (that you own and can edit yourself) then you're on the right place!My gig packages include but are not limited to:Develop and Design WIX Website from Scratch.Complete Redesign of your WIX Website.WIX Landing page.Wix E-commerce store.Modernization of an existing WIX Site or Complete Redesigns.Blog Pages.SEO.Responsive Work.Elegant Layout according to your requirements.Unlimited revisions until your final satisfaction.And more!!!Why choose me?100% Quality guarantee.Unlimited revisions.Full Support Even After Completion of Project.I'll make sure all of your requirements are full filled and you are 100% satisfied, and I will provide you unlimited revisions until your final satisfaction. Because my first goal is client's satisfaction.If there is something you want that isn't listed in a gig or in my extras- please reach out. I'm happy to customize something for you!Thank you :)",All About Professionalism,Pakistan,1,"Thank You for Visiting My Profile.
Hi! I'm Ali. I am a Wix Expert / Website Enthusiast. I am enjoying working on Wix as it's my passion. I have built many dynamic wix websites for various businesses. I have attached some of the screenshots of my recent wix projects in my Gigs.",SILVER,13.19,Professional Landing Page /1 Page WIX Website Design + Responsive Design + Unlimited Revisions.,GOLD,35.17,Stunning Website Upto 5 pages with Mobile Friendly + E-Commerce Functionality + Unlimited Revisions.,PLATINIUM,61.56,Luxurious Website upto 10 Pages+ Mobile Friendly+ E-Commerce+ Responsive Design+ Unlimited Revisions,Aalih786 was amazing to work with. He was extremely communicative about each step of the process. He took my ideas and brought my vision to life. I am ecstatic about the website and highly recommend him. I feel like I made a new friend Thank you Aalih786!,Completed website to my requirements. Needed assistance with the contents of my website as some photos and text are unique. Overall pleased and will be happy to use again.,I had a very good experience.He was prompt and got the job done what we expected him to do..Highly recommendable. Thanks for your services.Cheers!!,545,979,57,21,0.88,welcome wix website stunning wix business website edit gig packages include limited develop design wix website redesign wix landing wix layout according revisions final quality even completion sure filled satisfied revisions final satisfaction goal client something listed gig reach happy customize something thank,"['business website', 'gig packages', 'happy customize', 'landing wix', 'listed gig', 'packages include', 'satisfaction goal', 'something listed', 'stunning wix', 'welcome wix', 'wix business', 'wix landing', 'wix website']",['wix']
3,https://www.fiverr.com/aaronace03/build-you-a-website-using-duda-website-builder,aaronace03,Level 1 Seller,5.0,10,0,6,I will build you a website using duda website builder,"I will create, update, and maintain your site in Duda Website Builder: Here are the services I offer: Redesign Website Design From Scratch Website Cloning or Mirror (Migration) PSD Conversion Adding Blogs You must provide the following: An account to access the Dashboard. Content, Logo, Business Information, and Images. Example of the websites you like If you are unable to provide the following, I will use commercial images, default text content, and text logos only. + See More Platform Duda Specialization Blog Business Education Portfolio Entertainment Wedding Supported plugin types Payment Social Media Analytics Form Map FAQ Gallery",None,Philippines,1,None,"Plus                       

",61.92,Websites with 2-5 pages only,"Pro

",88.46,Websites with 6-9 pages only,Premium,176.93,"Websites with 10 - 15 pages 



",We often need a site built in a short time frame and this seller always comes through with fantastic work,"Fast work, great work, We will continue to use this seller in the future.",Great work as always!,332,642,53,336,14.0,update maintain duda website builder redesign website design scratch website cloning mirror migration psd conversion adding blogs must following account access dashboard logo business information images example unable following commercial images default text text logos platform duda specialization blog business education portfolio entertainment wedding plugin payment social media analytics form map faq gallery,"['analytics form', 'design scratch', 'form map', 'media analytics', 'payment social', 'plugin payment', 'redesign website', 'website builder', 'wedding plugin']",[]
4,https://www.fiverr.com/abdul_rafay1/design-creative-wordpress-website-in-48-hours,abdul_rafay1,Level 1 Seller,4.9,11,0,34,I will make a professional site for you in wordpress or wix,"Hi Greeting. first of all thanks for being here. If you looking for an expert, I'm here. I am expert developer providing services for WordPress and Wix . I have great working experience with WordPress and Wix. My Specialty: Theme Development Plugin Development Customization Wix Corvid/Code SEO Payment Method Integration API Integration Restful API I can do any type of work related to WordPress and Wix. 100% Client Satisfaction Priority. Discuss in Detail before placing the order. Note: I dont work on Adult, Alcohol, Dating and Betting related Site. + See More Platform Wix Specialization Blog Business Education Portfolio Entertainment Non-profit Wedding Podcasting Online Communities Forms Crowdfunding Wiki /Knowledge SaaS Job Board Portal Brochure Supported plugin types Marketing Payment Forum Social Media Customer Support Shipping Inventory Analytics Video Form Events Music Chat Membership Map FAQ",Quality is remembered long after the price is forgotten,Pakistan,1,None,Silver,87.94,1-2 Pages Html or Wordpress or WIx - Mobile Responsive - Excellent Design - Contact Form,Gold,439.68,"Responsive design,  social links, blog, SEO and E-commerce ",Premium,791.43,"Theme Development, Plugin Development, Responsive Design Google Friendly, SEO and many more feature ","i recommended Abdul Rafay ""professional and Good Work"" In future ill assign more projects...","Abdul is great to work with, he is always willing to work with me to make my inspiration become a reality with the projects I bring to him. He works very quickly, is always there to work through issues, communicates well, and goes above and beyond to complete projects with me. He works very hard to create very high quality work.","Abdul is always willing to go above and beyond for a project. He is very understanding and works quickly. Abdul is also always willing to make accommodations to make the project affordable, finished on time, and with the required project details. I've worked with him on multiple projects and he is my go-to developer whenever I need website development help!",1002,910,59,168,7.0,greeting thanks expert expert developer providing wordpress wix great experience wordpress wix specialty plugin customization wix seo payment method integration api integration restful api type related wordpress wix client satisfaction priority discuss detail order note dont adult alcohol dating betting related platform wix specialization blog business education portfolio entertainment wedding podcasting online communities forms crowdfunding wiki saas job board portal brochure plugin marketing payment forum social media customer shipping inventory analytics video form events music chat membership map faq,"['api integration', 'experience wordpress', 'expert developer', 'satisfaction priority', 'wix seo', 'wordpress wix']",['wix']
5,https://www.fiverr.com/abdulhameed967/create-business-website-design-in-wordpress-or-wix,abdulhameed967,Level 2 Seller,4.3,6,0,7,I will create business website design in wordpress or wix,"Hi Every One: Welcome to create a Mobile Responsive Business Website in WordPress or Wix or want to give your old site a modern fresh look that will outperforms your competitor in all respects? We are here to help. We build website with responsive design, attractive modern look, and ready to convert your visitors into customers. Give a boost to your sales by building SEO friendly business website. Since 2015 I have helped 600+ clients grow their businesses, so buy with confidence. Gig Features Includes: Responsive business website Dynamic site with admin panel for managing website in future Search Engine Optimized and SEO friendly URL structure Social media integration Woocommerce Store (Business Package) Woocommerce Subscriptions (Business Package) Shipping Integrated (Premium Package) Note: We also offer custom orders! If you are not sure which package to choose, simply drop us a message to discuss your requirements and get a custom quote. Let's make a professional online presence. :) Regards + See More Platform GoDaddy Specialization Blog Business Education Portfolio Entertainment Non-profit Wedding Podcasting Online Communities Forms Crowdfunding Wiki /Knowledge SaaS Job Board Portal Brochure Supported plugin types Marketing Payment Forum Social Media Customer Support Shipping Inventory Analytics Video Form Events Music Chat Membership Map FAQ Gallery","Professional WordPress Developer, Shopify Developer, PHP Web Developer",Pakistan,1,None,Starter Plan,79.14,"One Page or Up to 4 Page Responsive Website. Slider, Contact Form, Social Media Integration, Maps",Business Plan,228.64,"Basic Package plus 5-8 Page Responsive Website, User Manual, Upload to Server, Basic SEO, Popups",Premium Plan,298.98,"Standard Package plus Advance Ecommerce Website, Payment Gateways, Subscriptions and Booking System","I want to say it's super satisfying working with Abdulhameed, did an awesome job on the website. He went above and beyond in fulfilling my all the requirements, always a pleasure working with this man. I am happy to recommend his services to the other users.","Marvelous work, like ever before. I need immediate attention he serve it really well and problem resolved just in two hours. Great Help.",Great experience dealing with him. Not a big order but he made it important and was professional in all aspects. Would highly recommend and am working on other projects to point in his direction. Thank you abdulhameed and Fiverr.,514,1377,57,672,28.0,every welcome mobile responsive business website wordpress wix give old modern fresh outperforms competitor respects help website responsive design attractive modern ready convert visitors customers give boost sales building seo friendly business website since helped clients grow businesses buy confidence gig includes responsive business website dynamic admin panel managing website future search engine optimized seo friendly url structure social media integration woocommerce store business package woocommerce subscriptions business package shipping integrated premium package note custom orders sure package simply drop message discuss custom quote let professional online presence regards platform godaddy specialization blog business education portfolio entertainment wedding podcasting online communities forms crowdfunding wiki saas job board portal brochure plugin marketing payment forum social media customer shipping inventory analytics video form events music chat membership map faq gallery,"['business website', 'responsive business', 'seo friendly']","['business', 'website']"
6,https://www.fiverr.com/abdulraheem286/create-or-design-responsive-webflow-website,abdulraheem286,Level 1 Seller,4.9,36,1,53,I will convert your design into responsive webflow or squarespace website,"Are you looking for a professional who can design a responsive website on:WebflowSquarespaceIF YES, then no need to search anymore as you have LANDED ON THE RIGHT PLACE!Let's talk and understand the goals and expectations first.What I will do?Design dynamically editable Webflow / Squarespace websiteRedesign existing website and build professional brand siteCreate fully Responsive Webflow or Squarespace site as per your requirementsSpecial attention to user interface i.e UI/UXVisually attractive Graphical layoutWebflow CMS (Content Manage System)Integration of a custom domainDo top level fresh SEO of your site100% Search Engine Friendly URL structureEnhanced Security and SpeedAdd flexible fonts, colors or images to your siteI will convert your designs made on Figma, PSD or adobe XD to Webflow or SquarespaceI Guarantee you that:Your work will be delivered on time.Your Satisfaction will be my first Priority.Give me a try. You won't be disappointed.P.S: Revisions included. I'm not happy 'til you are!#webflow expert #squarespace design # #squarespace expert #webflow design #responsive #webflow website #build website #fix #redesign�",Technical Website Developer and Graphic Designer,Pakistan,2,"Hello!!! 
Its Abdul Rahim, I have been creating sales funnels and been doing projects of Webflow, Html, CSS, JavaScript for almost 2 years before joining Fiverr. I am a member of a team of 8 members called ""Bratcave"" We possess different skills including Click Funnels, Graphic Design, Web Design, leveraging sales funnels so that you can get your projects at the lowest possible cost. I can also make nice and decent logos for your company. You can get your projects delivered ASAP I get your requirements. So why not order right now.  I hope you will like my work.
Best Regards",Simple,4.4,Minor webflow website problem fix within short time,Advanced,43.97,"Webflow / squarespace website building with responsive, seo, guideline facilities. Upto 4 pages",Ultra,87.94,"Webflow / squarespace website with responsive, seo, e-commerce, support etc facilities. 5-7 pages","The majority of my project were done correctly, however when it came to matching the responsiveness and subtle details like margins, etc there were many areas that needed more revisions. Ultimately it was worth the spend but I still needed to do work afterwards to get it 100% correct.","I asked Abdulraheem to turn a website designed in Figma into Webflow, and he did a great job, the interface was pixel-perfect exactly as I wanted it, very satisfied with this service and I highly recommend this guy ! Thanks again Abdulraheem",Abdul was great! Very clear and fast communication. Helped me with my Webflow website issues that I was having and completed everything to my expectations. I will definitely be working with him again!,1244,1144,73,24,1.0,professional design responsive website webflowsquarespaceif yes search anymore landed let talk understand goals expectations design dynamically editable webflow squarespace websiteredesign website professional brand sitecreate responsive webflow squarespace per requirementsspecial attention user interface attractive graphical layoutwebflow cms manage system integration custom domaindo top level fresh seo search engine friendly url structureenhanced security speedadd flexible fonts colors images sitei convert designs made figma psd adobe xd webflow squarespacei guarantee delivered satisfaction try wo revisions included happy webflow expert squarespace design squarespace expert webflow design responsive webflow website website fix,"['adobe xd', 'attractive graphical', 'design responsive', 'integration custom', 'let talk', 'responsive webflow', 'seo search', 'squarespace expert', 'webflow design', 'webflow expert', 'website fix']",['webflow']
7,https://www.fiverr.com/abdurrahmanc/develop-website-with-django-python,abdurrahmanc,Level 1 Seller,5.0,25,0,22,"I will develop website with django python, full stack devdeloper","Hi! This is Md Abdur Rahman Chowdhury, Thanks a lot for visiting my Gig.I am python django web developer. I can build site from scratch and update existing sites. I am expert in Django framework. I can complete and custom websites using django.Services offeredCreate site from scratch in djangoFast loadingResponsive designSocial AuthenticationFixing BugsStyling your Web Applications and WebsitesIf required then give basic trainingFull Professional designBasic CRUD applicationFrontend of the Website can be built on:���������HTML/ CSS���������JAVASCRIPT����������JQUERY���������BOOTSTRAPClient 100% satisfaction is guaranteed.�Note: Kindly contact me before placing an order so we may discuss the details, the budget and the timeline for the project.Thank YouRegardsAbdurRahman",Full Stack Web Developer and Python Django Expert,Bangladesh,2,"Hi, This is Md Abdur Rahman Chowdhury.
I am expert in Web Application development. I am skilled in python django, javascript, HTML, bootstrap, CSS, database and additional Java, C laguage. I love to code and work hard. ","FIX BUG, PYTHON SCRIPT",4.4,fix bug in your existing web application or write a simple python script.,BUILD A BASIC WEBSITE.,57.16,develop a basic professional website which will include up to 5 pages.,DEVELOP A COMPLEX WEB APP,83.54,develop a complex web app and deploy it on cloud.,Great service and speedy delivery. Abdur helped me turn my idea into reality. Before I even paid for the gig he and I spoke at length about the web app I wanted to create. Once we agreed on what was to be done and the time it takes I made paid for the gig. The gig was completed in less time than stated which was amazing and I was very happy with the all communication with the seller because any questions I had he answered as quickly as possible. Once the gig was delivered he also attached a video to showcase the website and show me all the functionality that we had discussed and he even added some extras to my surprise but it all made my site pop out. Highly recommend Abdur to anyone.,Good and Professional work done by the developer. I liked his work and mainly his support. I always work with him in future too. He has gone out of his way to support and answered my queries. I recommend him 100%,"It was great work done by this seller, very quick delivery and received everything as expected and explain. I will definitely recommend anyone who need help related to Django project. Thank you. I hope to work with you in the future again.",240,780,64,504,21.0,md abdur rahman chowdhury thanks lot visiting python django developer scratch update sites expert django framework custom offeredcreate scratch djangofast loadingresponsive designsocial authenticationfixing bugsstyling applications websitesif required give basic trainingfull professional designbasic crud applicationfrontend website built satisfaction kindly contact order may discuss details budget timeline youregardsabdurrahman,"['contact order', 'discuss details', 'kindly contact', 'website built']",[]
8,https://www.fiverr.com/abidali571/design-creative-and-unique-website,abidali571,Level 1 Seller,5.0,2,2,1,I will design creative and unique website,"Creative and Unique website Thanks for landing at my service. it is my pleasure to serve you. If you are looking for High-Quality unique website Design and Development Services to increase. your Business Presence Or Start Selling Your Product Online, You are Looking at right Gig. Your site should look professional and leaving the best impression that makes your business unforgettable to your clients. What I Will Provide: Get a Professional creative and unique website Premium themes Secure & SEO friendly Responsive All Devices Amazing professional layouts Fast loading performance Query Forms Submission Live Chat integration Social media integration Newsletter Integration Much More� Why You Should Hire Me: 100% accuracy design Best Quality, Great design Skills Support beyond the expectations 100% Money-Back Guarantee 24/7 available Fast delivery Please read the FAQ below before ordering. If you have more questions, just ask me. I'll be glad to help you with your project! wordpress website designer / wordpress expert / responsive site / Ecommerce store + See More Platform GoDaddy Specialization Blog Business Education Portfolio Entertainment Non-profit Wedding Podcasting Online Communities Forms Crowdfunding Wiki /Knowledge SaaS Job Board Portal Brochure Supported plugin types Marketing Payment Forum Social Media Customer Support Shipping Inventory Analytics Video Form Events Music Chat Membership Map FAQ Gallery",I will Create a beautiful mobile friendly Wordpress website design,Pakistan,1,None,Silver,43.97,I will develop creative and unique ONE page responsive & SEO friendly website,Gold,109.92,I will create 3-5 pages mobile & SEO friendly WordPress website  with admin panel.,Premium,175.87,I will design creative & unique responsive ecommerce website with 10 pages + SEO + Security,I am very satisfied. Excellent.Very good and useful information. Thank you very much for such a great service.100% professional work.,"This seller is very professional, very talented and the design i got was better than i expected, very good communication skills/ I highly recommend this seller, i will use this seller in near future",None,698,1433,41,48,2.0,creative unique website thanks landing pleasure serve unique website design increase business presence start selling product online gig professional leaving impression makes business unforgettable clients professional creative unique website premium themes secure seo friendly responsive devices amazing professional layouts fast loading performance query forms submission live chat integration social media integration newsletter integration much hire accuracy design quality great design skills beyond expectations guarantee available fast delivery read faq ordering questions ask glad help project wordpress website designer wordpress expert responsive ecommerce store platform godaddy specialization blog business education portfolio entertainment wedding podcasting online communities forms crowdfunding wiki saas job board portal brochure plugin marketing payment forum social media customer shipping inventory analytics video form events music chat membership map faq gallery,"['start selling', 'unique website']",[]
9,https://www.fiverr.com/abovee2020/develop-a-fully-responsive-website-with-modern-design,abovee2020,Level 2 Seller,4.9,48,0,1415,I will create a fully responsive website and custom wordpress,"Every business needs a well responsive platform to reach out to her customers. Therefore are you looking for a new website, or you want to revamp your old one to a modern, fresh look with a responsive layout? Your search ends now because I am here to help you out. The Features you will get: Fully Responsive Design with Modern Web Features. User Friendly Admin Panel (WordPress), easy to use Back-end CMS for making changes. Html CSS Valid Mark-Ups, Clean Code and Bugs Free. Search Engine Optimized (SEO) Ready. Browser compatibility. Eye Catching CSS Animations and Transition custom wordpress Design My Design services include: Corporate/Business website E-commerce website Travel Agency Blogs, Magazine Photography Real Estate Affiliate Restaurant portfolio Dropshipping And So much more Important Notice: - For us to be to serve you better Please CONTACT US before you place the order. Content for the website (text and images) will be required. - Price Quote for website will be based on the number of web pages, features required and the complexity of the site. + See More Platform GoDaddy Specialization Blog Business Education Portfolio Entertainment Non-profit Wedding Podcasting Online Communities Forms Crowdfunding Wiki /Knowledge SaaS Job Board Portal Brochure Supported plugin types Marketing Payment Forum Social Media Customer Support Shipping Inventory Analytics Video Form Events Music Chat Membership Map FAQ Gallery",I'm original! my services is my passion order my gig now!,Nigeria,1,None,Modern and Responsive Website,87.94,"HTML/HTML5

CSS/CSS3

Bootstrap

JQuery

Animation.css

Parallax Scrolling

Foundation",Responsive Website,131.9,"HTML/HTML5

CSS/CSS3

Bootstrap

JQuery

Animation.css

Parallax Scrolling

Foundation

",Fully Responsive Website,219.84,"HTML/HTML5

CSS/CSS3

Bootstrap

JQuery

Animation.css

Parallax Scrolling

Foundation","Good to work with, was a delay in delivery due to equipment breaking but kept me up to date with new timelines","This is my second time working with this designer, he did a great Job the first time. Which is why I choose him the second time around. Very patient with me , quick feedback and very patient. I would recommend for everyone!",He was very patient with the many redrafts of the website and was professional and timely with the changes. His work was excellent!,1915,1437,61,2880,120.0,every business well responsive platform reach customers therefore website revamp old modern fresh responsive layout search ends help responsive design modern user friendly admin panel wordpress cms making changes html css valid clean code bugs free search engine optimized seo ready browser compatibility eye catching css animations transition custom wordpress design design include website website travel agency blogs magazine photography real estate affiliate restaurant portfolio dropshipping much important notice serve better contact order website text images required price quote website based number required complexity platform godaddy specialization blog business education portfolio entertainment wedding podcasting online communities forms crowdfunding wiki saas job board portal brochure plugin marketing payment forum social media customer shipping inventory analytics video form events music chat membership map faq gallery,"['design design', 'design modern', 'engine optimized', 'eye catching', 'optimized seo', 'order website', 'responsive platform', 'text images', 'website based', 'wordpress design']",['website']
